"Each hour spent in a car was associated with a 6 percent increase in the likelihood of obesity and each half-mile walked per day reduced those odds by nearly 5 percent, the researchers found.",The more driving you do means you're going to weigh more -- the more walking means you're going to weigh less.,1
"A Filipino truck driver held hostage in Iraq for two weeks has been freed, a day after Manila withdrew its troops in response to demands from kidnappers who had threatened to behead him.",Egyptian driver Mohammed al-Gharabawi was freed after the Saudi firm he worked for met kidnappers' demands by promising to stop doing work in Iraq.,0
"Customers are starting to feel more comfortable with open source software, and they are even more comfortable if a big company like H-P stands behind it, said Bob Bickel, vice president for corporate strategy and development at JBoss.","Bob Bickel, vice president of strategy and corporate development at JBoss, said commercial use remains somewhat constrained because a CIO doesn't know whom they can turn to for support.",0
Some neighbors said they were forced to break windows to enter the supermarket because the doors wouldn't open.,Many survivors said they were unable to open locked doors as they tried to flee the complex.,0
A Union Pacific freight train hit five people.,A Union Pacific freight train struck five people.,1
The plaintiffs are also concerned by suggestions the bones may have deteriorated in the eight years since they was pulled from the sediment.,The number of pieces of skeleton have grown since they've been lying in the cabinet.,0
"Ghazi Yawar, a Sunni Muslim who lived for years in Saudi Arabia, has been picked as president of Iraq after the favored U.S. choice, Adnan Pachachi, declined to take the job.",Yawer is a Sunni Muslim.,1
"Last July, a 12-year-old boy in Nagasaki - a city just north of Sasebo - was accused of kidnapping, molesting and killing a 4-year-old by shoving him off the roof of a car garage.",Last year a 12-year-old boy in Nagasaki was accused of murdering a four-year-old boy by pushing him off a roof.,1
Mexico City has a very bad pollution problem because the mountains around the city act as walls and block in dust and smog.,"Air pollution -- made up mostly of ozone, suspended particles, and sulfur dioxide -- has affected the climate by partially blocking the Sun's rays.",0
"A plane carrying 200 French Jewish immigrants has landed in Israel, at a time of strained diplomatic relations between Israel and France.","Nearly 2,000 Jews emigrate from France to Israel every year.",0
"Palestinian Prime Minister Ahmed Qureia has withdrawn his resignation, and agreed to stay on in his post at the urging of Palestinian President Yasser Arafat.",Palestinian Prime Minister Ahmed Quriea will stay in his post but did not formally withdraw his resignation.,0
Five people were killed in another suicide bomb blast at a police station in the northern city of Mosul.,Five people were killed and 20 others wounded in a car bomb explosion outside an Iraqi police station south of Baghdad.,0
"Japan has long sought to overturn a 1986 ban on all commercial whaling, and its proposal to allow the hunting of minke whales in the Antarctic came at the IWC's annual meeting in Italy, which, as in past years, has been dominated by the issue.",Commercial whale hunting has been banned by the IWC.,1
"The Palace of Fine Arts is the home of the famous Mexican Ballet Folklorico, which is known for its colorful costumes as well as its dancing.",The downtown Palace of Fine Arts is the traditional concert and opera hall.,0
"Landslides, collapsing houses, drowning, disease and snake bites have brought the death toll across South Asia to 1,338.","Deaths from monsoon rains across South Asia hit 1,300.",0
"The first settlements on the site of Jakarta were established at the mouth of the Ciliwung, perhaps as early as the 5th century AD.",The first settlements on the site of Jakarta were established as early as the 5th century AD.,1
Jennifer Hawkins is the 21-year-old beauty queen from Australia.,Jennifer Hawkins is Australia's 20-year-old  beauty queen.,0
"Shrek 2 retained the top spot with $92.2 million over the long Memorial Day weekend, fending off the global-catastrophe tale ""The Day After Tomorrow,"" which debuted with $86 million, according to studio estimates Monday.","Shrek 2 retained the top spot with $92.2-million over the long weekend, fending off the global-catastrophe tale The Day After Tomorrow, which debuted with $86-million, according to studio estimates.",1
"I'm doing everything to be prepared for the Olympics so I can achieve something for my country, she said, speaking at the country's only studio for female judo players.","I'm doing everything to be prepared for the Olympics so I can achieve something for my country, she said, speaking at the country's only studio for female judokas.",1
"The city has marked topographical contrasts: Buda is built on the higher river terraces and hills of the western side, while the considerably larger Pest spreads out on a flat and featureless sand plain on the river's opposite bank.","Pest is on the opposite, east bank.",1
"It's troubling that it took an eight-year, multimillion-dollar legal fight with a government that was bent on siding with religion over the right to study a 9,300-year-old skeleton.","An 8-year fight ends over a 9,200-year-old man.",0
"On the 35th anniversary of the first lunar landing, NASA struggled with money problems as it aimed to return to human space flight after the Columbia disaster and ultimately put people back on the moon.",NASA paid tribute to America's first generation of astronauts to mark the 35th anniversary of the first moon walk.,0
Staten Island ferry captain Michael Gansas has refused to talk with investigators.,City officials fired the captain of the crashed Staten Island ferry.,0
"The directive, issued by Vietnam's Minister of Post and Telecommunications Do Trung Ta on Monday, is the latest in a string of measures unveiled in recent months to prevent ""bad and poisonous information"" being circulated online.","The regulations are the latest ones in a string of recent measures aimed at cracking down on ""bad information"" circulated over the Internet.",1
"The Taliban's rule from 1996 to 2001 was a dark period for Afghan athletes, especially girls and women.",Rezzay came home after the Taliban were toppled by Afghan opposition forces in 2001,0
Mr Sadr is wanted by the U.S. in connection with the assassination of a rival cleric in April 2003.,"U.S. troops seized a relative and senior lieutenant to Sadr, who was also wanted for murder.",0
"The city's main industries are construction and the production of chemicals, plastics, cement, and yarns and textiles.","The city's products include chemicals, plastics, cement, yarns, and textiles.",1
"Some bodies were found still seated in their cars, blackened from the intense heat.",Badly burned bodies could be seen as they were taken away after the fire.,0
Combined with oil prices still hovering near $44 a barrel.,The company's shares were down 44 cents.,0
"The accidental discovery of its skull by two young men walking along the Columbia River caused a sensation, not only because of its age but also because some features did not resemble those of modern American Indians, as would have been expected then.","The skeleton, among the oldest in America, bears little physical resemblance to any present-day Americans.",0
A suicide attacker killed 51 people when he exploded a bomb-laden vehicle outside a central Baqouba police station Wednesday.,70 people were killed Wednesday when a suicide bomber detonated an explosive-packed sedan on a busy Baqouba street.,0
Google apparently doesn't handle bureaucratic paperwork as smoothly as its online search engine sorts through billions of Web pages.,Google Inc. is delaying its IPO by a week because of logistical problems related to institutional investors registering to bid on the shares.,0
The latest French government figures show 510 anti-Jewish acts or threats in the first six months of 2004 - compared with 593 for all of last year.,"There are growing anti-Jewish sentiments and incidents in France as more than 300 anti-Semitic attacks have been reported in France so far this year, which is more than in all of 2003.",0
"The Dutch name Batavia remained the internationally recognized name until full Indonesian independence was achieved and Djakarta was officially proclaimed the national capital ( and its present name recognized ) on December 27, 1949.","Indonesia gained independence in 1949, and the name of the city was changed to Djakarta.",1
Witnesses said the gunman was wearing gray pants and a tan jacket and was carrying a gray bag.,"Witnesses said the gunman was wearing gray pants and a tan jacket, and carrying a gray bag.",1
Prime Minister Allawi has sent out letters to countries that might be candidates.,Prime Minister Allawi will return to Iraq in time for the country's national conference.,0
"Several other people, including a woman and two children, suffered injuries in the incident.","Several people were slightly wounded, including a woman and three children",0
"As oil prices soared to new heights after a terrorist attack in Saudi Arabia, the nation's influential oil minister tried to reassure markets yesterday that OPEC would do its best to provide adequate supplies.","As oil prices soared after a terrorist attack in Saudi Arabia, the nation's oil minister tried to reassure markets that OPEC will try to provide adequate supplies.",1
A Filipino hostage in Iraq was released.,A Filipino hostage was freed in Iraq.,1
The Greek government is spending over 1 billion euros.,Greece is spending over 1 billion euros.,1
Cinemas showing the new Harry Potter film are being issued with night vision goggles in a bid to stamp out piracy.,Night vision goggles have been distributed along with the film.,1
"The city has marked topographical contrasts: Buda is built on the higher river terraces and hills of the western side, while the considerably larger Pest spreads out on a flat and featureless sand plain on the river's opposite bank.","Buda features many hills, while Pest is relatively flat.",1
"Anthropologists say that Kennewick man's remains are part of an expanding body of evidence showing that American Indians, long thought to have been the original inhabitants of the Americas, may not have been the first people to live on the continents.",Scientists say that Kennewick man's skeleton could provide valuable information about the early settling of the Americas.,1
"The Friday before she was reported missing, Lori Hacking, 27, left work stunned and sobbing.",Hacking said she had gone jogging and never showed up for work.,0
"In terms of music, the National Philharmonic Orchestra draws large crowds.",The National Philharmonic orchestra draws large crowds.,1
"It soon became the most important city of the Americas, with jurisdiction extending well into the present United States and as far south as Panama.",It soon became the most important city of the Americas.,1
China has virtually refused Korean demands that it correct distortions of Koguyro history.,Few Koreans doubt that Koguryo belonged to Korea.,0
"There are also tanneries, sawmills, textile mills, food-processing plants, breweries, and a film industry in the city.",Movies are also made in the city.,1
"They were greeted by Israeli Prime Minister Ariel Sharon, who recently urged French Jews to flee to Israel to escape rising anti-Semitism.",Sharon praised France for 'determined action' against anti-Semitism.,0
"On hand to meet him with Mbeki were the Deputy Foreign Affairs Minister, Health Minister, Transport Minister, Defence Minister and director general in the presidency, Reverend Frank Chikane.","On hand to meet him with Mbeki were the Deputy Foreign Affairs Minister, Health Minister, Transport Minister, Defence Minister and director general in the presidency, Rev Frank Chikane.",1
"Japan wants to hunt more than 3,000 minke whales for meat that could be worth $300 million.",Japan is the world's prime consumer of whale meat.,0
"The GDP, which measures the value of all goods and services in the nation, rose at an annual rate of 3 percent in the second quarter, compared to a 4.5 percent rise in the first quarter.","Gross domestic product, a measure of total output within the nation's borders, climbed at a 3% annual pace in the April-June period.",1
"Scientists on Earth, too, are gathering data on Mars: researchers from the U.S. Antarctic Search for Meteorites Program announced yesterday the discovery of a Martian meteorite recovered 750 kilometers from the South Pole.",A Martian meteorite was discovered by scientists in Antarctica.,1
The Aztec Indians founded a city on the site of modern-day Mexico City in the 14th century.,The Aztecs arrived in the Valley of Mexico in the 13th century.,0
"The Alameda Central, west of the Zocalo, was created in 1592.",The Alameda Central is west of the Zocalo.,1
"The death toll is worst in India, however, with 686 fatalities so far.",Flooding and related problems have killed 768 people in India.,0
"NASA Administrator Sean O'Keefe presented the Apollo, Gemini and Mercury astronauts and survivors with commemorative plaques - each containing a small piece of lunar rock.",NASA Administrator Sean O'Keefe has said shuttle astronauts will not make a repair call to the orbiting observatory because it would be too risky.,0
"The search has focused on the Hangman's Cell, reputedly where 141 French prisoners of war were executed, and the 18th Century Master Ropemaker's House.","The investigation focused on the hangman's cell, where 141 French prisoners-of-war were said to have been executed, as well at the 18th-century Master Ropemaker's House.",1
"The South Side store, part of a redevelopment of an abandoned steel plant, fell by a 25-21 vote. Passage required a majority of 26 votes in the 50-member council.",Approval for a second store fell one vote short.,1
After the war the city was briefly occupied by the Allies and then was returned to the Dutch.,"After the war, the city was returned to the Dutch.",1
"Mexico City has always been one of the main cultural centers of Latin America, and much of the culture there is uniquely Mexican.",Mexico City has always been one of the prominent cultural centres of Latin America.,1
John Edwards praised John Kerry as a man tested by war for national command.,John Edwards's speech failed to mention President Bush or Vice President Dick Cheney.,0
"""I want to go abroad and start my life as a free man. If Israel is a democracy it should allow me to do it,"" Vanunu told reporters at the court.",Vanunu says he wants to start a new life in another country.,1
"Only around four million people out of a population of 81 million people regularly surf the Internet in Vietnam, mainly through cyber-cafes.",About four million people out of Vietnam's population of 81 million regularly use the Internet.,1
"When the Spaniards led by Hernan Cortes arrived in 1519, Tenochtitlan had about 100,000 inhabitants.","In 1519, Aztec culture was forever changed when the Spaniards arrived.",0
More than 100 people were killed in a suicide bombing and clashes Wednesday as Iraq's interim government marked its first month in office.,"A minibus packed with explosives blew up near a police station and a market north of Baghdad, Iraq Wednesday, killing 68 people and wounding 30 in the worst attack since the handover of power exactly one month ago.",0
Seagate Technology Inc. reported a loss of $33 million on revenue of $1.34 billion.,Seagate Technology Inc. posted revenues of $1.34 billion.,1
36 insurgents and 7 Iraqi soldiers were killed in a joint raid by Iraqi and foreign troops south of Baghdad.,"Seven Iraqi troops and 35 insurgents were killed in fierce fighting near Suwariya, 20 miles southeast of Baghdad.",0
"Night vision goggles have been distributed along with the film to Vue Cinemas, formerly known as Warner Village, in the UK.",Vue Cinemas - formerly Warner Village - have asked staff to check that audience members do not use video cameras to make pirate copies of the film.,0
"When they returned home after the Taleban had been toppled by Afghan opposition forces, Rezzay knew exactly what she wanted to do.","When they came home after the Taliban were toppled by Afghan opposition forces, Rezzay knew exactly what she wanted to do.",1
"Oil prices may be jolted higher on Tuesday when key markets reopen from a long holiday weekend that saw the second attack in less than a month on Saudi Arabia, the world's top crude exporter.",Markets reopen Tuesday after the holiday weekend.,1
Many survivors said they were unable to open locked doors as they tried to flee the complex.,Some neighbors said they were forced to break windows to enter the supermarket because the doors wouldn't open.,0
"Just hours before the gathering, a House appropriations subcommittee voted to cut $1.1 billion from NASA's budget request for the next fiscal year.","The National Aeronautics and Space Administration would get $229 million less than it did in 2004 and $1.1 billion less than President Bush requested, if a spending bill approved by a U.S. House of Representatives subcommittee becomes law.",0
Two candidates for the new Iraqi president are 81-year-old Pachachi and Sunni tribal leader Yawar.,Pachachi and Yawer are Sunni Muslim Arabs.,0
Officials said Michael Hamilton was killed when gunmen opened fire and exchanged shots with Saudi security forces yesterday,Michael Hamilton died yesterday.,1
"About 10 minutes after take-off on Monday, Yang told the crew that he had companions on board carrying sulphuric acid that they would throw over passengers unless the plane headed for South Korea,","Approximately 50 minutes into the flight, a man whose seat number was F12 came near the cockpit in an attempt to hijack the plane, saying he wanted to go to Korea.",0
"The capital of Mexico, Mexico City is one of the oldest cities in North America and one of the largest cities in the world.","Spanish Mexico, or Ciudad de Mexico, ancient ( Nahua, or Aztec ) Tenochtitlan city, capital of Mexico.",0
"Some witnesses said victims were not able to escape the flames because the exits had been locked, possibly to avoid robberies, a claim denied by Juan Pio Paiva, the supermarket's owner.",Witnesses told police a gas canister exploded.,0
Cortes razed Tenochtitlan in 1521 and constructed a Spanish city on its ruins.,Cortes quickly destroyed Tenochtitlan and built a Spanish city in its place.,1
"Among other cultural activities, the Taman Ismail Marzuki centre has facilities for traditional or classical art performances as well as theatres for presenting modern plays and concerts; the centre also has a planetarium.",The Taman Ismail Marzuki center also has theaters for presenting modern plays and concerts.,1
"A car bomb that exploded outside a U.S. military base near Beiji, killed 11 Iraqis.","A car bomb exploded outside a U.S. base in the northern town of Beiji, killing 11 Iraqis.",1
A British oil executive was one of 16 people killed in the Saudi Arabian terror attack.,A British oil company executive was killed in the terrorist attack in Saudi Arabia,1
The GDP rose at an annual rate of 3 percent in the second quarter.,The weaker-than-expected GDP number gave Wall Street more to worry about in terms of how strong the economy will perform in the second half of this year.,0
"At the welcoming ceremony, Sharon appeared to try to correct the damage from his earlier statements, saying anti-Semitism threatens the Western world, without singling out France.","Sharon said anti-Semitism threatened the Western world, but he did not single out France.",1
"The city's official history, however, starts in 1527, when the sultan of Bantam defeated the Portuguese there and called the place Jayakerta ( Sundanese: ""Glorious Fortress"").","The city's official history starts in 1527, when a local ruler defeated the Portuguese there and called the place Jayakerta.",1
Four people were killed and a US helicopter shot down in Najaf.,Five people were killed and an American helicopter was shot down in Najaf.,0
"Mexico City lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres).","Mexico City is about 7,350 feet (2,240 meters) above sea level.",1
"At the southeastern tip of the city, Xochimilco, another small town subsumed by the city, is a popular tourist destination because of its chinampas, or ""floating gardens,"" boats made out of reeds on which the Indians have grown plants since pre-Columbian times.",At the southeastern tip of the city lies a small town called Xochimilco.,1
"There are similarities between us and Microsoft in that we believe in getting developer adoption and building community, and (Microsoft) has always done a great job in ease of use, said Zack Urlocker, vice president of marketing at MySQL, based in Uppsala, Sweden.",MySQL Vice President of Marketing Zack Urlocker said companies such as Sabre are using an open source stack for business applications.,0
The Bush administration has long sought to augment the force with more Muslim troops.,It was not clear whether a UN security council resolution would be required to authorise a Muslim force.,0
"Napster was originally a free pioneer file-swapping service, which was forced to shut down in 2001 after a painstaking legal battle with recording companies.",The original Napster shut down after the music industry sued.,1
"Witnesses told police a gas canister exploded to start the fire in a multilevel building which houses the Ycua Bolanos supermarket, a food court and a parking garage, causing the bottom floor to collapse.",Some witnesses said victims were not able to escape the flames.,0
Abu Musa al-Hindi is one of the 13 men picked up in coordinated raids across the country.,Bilal was arrested along with other 12 men.,0
"The attorney for Mark Hacking said he will raise the issue of mental illness and challenge his client's confession to relatives that he killed his wife, Lori, and dumped her body in a garbage bin.",Hacking reportedly made the statement to his brothers when he was a psychiatric patient in the hospital.,0
Microsoft delays release of Windows XP update.,Microsoft to begin shipping major update to Windows,0
"I love it, it's just such fun, said Harry Potter author JK Rowling, who is estimated to have earned £435m from her creation.",The Potter books netted an estimated £435 million for Ms Rowling.,1
"Korean Seoul, formally Soul-t'ukpyolsi ( ""Special City of Seoul"" ), largest city and capital of the Republic of Korea ( South Korea ), located in the northwestern part of the country on the Han-gang (Han River ) 37 miles ( 60 kilometres ) from the Yellow Sea.","Seoul is on the Han River in the northwestern part of South Korea, about 37 miles ( 60 kilometers ) from the Yellow Sea.",1
FBI agents later interviewed Vanderford and opened an investigation.,The FBI said it was still considering whether Vanderford had broken any law.,0
"The Dutch, under the leadership of Jan Pieterszoon Coen, captured and razed the city in 1619, after which the capital of the Dutch East Indies -- a walled township named Batavia -- was established on the site.",The Dutch captured and destroyed the city in 1619.,1
The colonial era ended when Indonesia was occupied by Japanese forces in World War II.,"During World War II, Indonesia was taken over by Japanese forces.",1
One famous nonastronaut also received one of the Ambassador of Exploration awards -former CBS newsman Walter Cronkite.,Former CBS News anchor Walter Cronkite also received the ambassador honor.,1
"Sharon said on Sunday evening that he intended to follow through with the plan ""in light of the severe and dangerous economic and security situation that Israel would find itself in if it had no diplomatic plan,"" a statement from his office said.","The plan, which has strong international support, including from the United States, has cost Sharon his parliamentary majority and left him fighting for political survival.",0
"Toward the east , the city ends in a plain that meets the Sierra Nevada , with its two extinct volcanoes, Ixtacihuatl ( 17,342 feet ) and Popocatepetl ( 17,883 feet ), which were once a familiar sight from Mexico City but are now usually obscured by pollution.",Nearby are two volcanoes that can only be seen from the city on days when wind has cleared out the pollution.,1
Scott and Lance Hacking talked with their younger brother at the hospital July 24.,Douglas and Scott Hacking are physicians.,0
The most popular spectator sports are football ( soccer ) and bullfighting.,The most popular spectator sports are soccer and bullfighting.,1
Saudi Arabia was boosting its own production.,Saudi Arabia was boosting its production.,1
"Massoud Emami, governor of Iran's northwestern province of Qazvin, and at least 9 others on abroad a helicopter were killed in a crash Saturday afternoon.","Governor of Iran's Qazvin province, Massoud Emami, and eight others were killed when their helicopter crashed while returning after an inspection of quake-hit Roudbar Alamout district, north of Tehran.",0
In the early 20th century the city was the site of fighting during the Mexican Revolution.,"During the Mexican Revolution, the city became a battlefield.",1
A spokeswoman said there were no more details available.,No further details were available.,1
Measurements by ground-based instruments around the world have shown a decrease of up to 10 percent in sunlight from the late 1950's to the early 1990's.,The world is about 10 per cent darker than half a century ago,1
That's five times the amount spent by Australia on security for the 2000 Games in Sydney.,That's five times more than Australia spent to protect the 2000 Olympics in Sydney.,1
"After World War I ( 1914-18 ), Warsaw again became the capital of an independent Poland.",After World War I Warsaw regained its status as the national capital of Poland.,1
"When the Spaniards led by Hernan Cortes arrived in 1519, Tenochtitlan had about 100,000 inhabitants.","Led by Hernan Cortes, the Spaniards fought a war against the Aztec.",0
"Budapest, capital of Hungary, and administrative centre of Budai jaras ( district ) and Pest megye ( county).","Budapest, the capital of Hungary, is one of the largest cities of Eastern Europe.",0
"It is the most fashionable district of Budapest, where Hungary's wealthy have houses.","It is the most fashionable district of Budapest, where Hungary's elite have houses.",1
Baleen whales are filter feeders.,Minke whales are the smallest of the baleen whales at about 30 feet.,0
"Until about five years ago, an 8-by-8-foot plank jutting out from the tracks provided a safe haven for those crossing the bridge if a train came.","Until about five years ago, an 8-by-8-foot plank extending from the tracks provided a safe haven for those crossing the bridge if a train came.",1
The Plaza Mexico bullring is the largest in the world.,Plaza Mexico is the largest bullring in the world.,1
"Korean Seoul, formally Soul-t'ukpyolsi ( ""Special City of Seoul"" ), largest city and capital of the Republic of Korea ( South Korea ), located in the northwestern part of the country on the Han-gang (Han River ) 37 miles ( 60 kilometres ) from the Yellow Sea.",Seoul sits on both banks of the Han.,0
"Aristide left Haiti on February 29, on board an American military aircraft, in the face of mounting civil unrest and accusations of corruption.","Aristide left Haiti on February 29, on board a US military aircraft.",1
"Korean Seoul, formally Soul-t'ukpyolsi ( ""Special City of Seoul"" ), largest city and capital of the Republic of Korea ( South Korea ), located in the northwestern part of the country on the Han-gang (Han River ) 37 miles ( 60 kilometres ) from the Yellow Sea.",The capital and largest city of South Korea is Seoul.,1
A militant group in Iraq is holding seven foreign truck drivers.,The militant group said it had released the Iraqi driver.,0
"NASA Administrator Sean O'Keefe presented the Apollo, Gemini and Mercury astronauts and survivors with commemorative plaques -- each containing a small piece of lunar rock.",The astronauts were given lunar rocks that came from the 842 pounds of rocks and soil brought home from six moon expeditions from 1969 to 1972 and will be displayed in their names at the museum or educational institution of their choice.,0
"Prime Minister Ariel Sharon, threatened Sunday to fire rebellious cabinet ministers opposed to his Gaza pullout plan.","Prime Minister Ariel Sharon, threatens to ax opponents.",1
Shrek 2 rang up $92 million.,Shrek 2 earned $92 million,1
Diplomat and Saudi security sources say there were multiple shooting attacks Saturday on housing compounds in Khobar.,They say the captives were among a large number of hostages seized at a housing compound near Khobar.,0
"Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.","Indonesia gained independence in 1949, and the name of the city was changed to Djakarta.",0
"The Nez Perce, Umatilla, Yakama and Colville tribes filed a claim to the skeleton shortly after it was unearthed on 31 July, 1996, on a wide bank of the Columbia river at Kennewick in Washington State.",Jim Chatters of Bothell is the scientist who first studied the skeleton after it was found on a Columbia River bank in 1996.,0
"The GDP, which measures the value of all goods and services in the nation, rose at an annual rate of 3 percent in the second quarter, compared to a 4.5 percent rise in the first quarter.",Economists had looked for GDP to advance at a 3.6% pace after the previously reported rise of 3.9% in the first quarter.,0
Seven Iraqi men whose hands were ordered cut off by Saddam Hussein met with President Bush at the White House on Tuesday.,"Seven men, former prisoners of dictator Saddam Hussein, found themselves shaking hands with President George Bush at the White House on Tuesday.",0
"Colin Powell, the US secretary of state, will today hold talks to discuss Saudi Arabia's offer to help build a joint force of Muslim nations.","Colin Powell said key questions remain unanswered, including who would command the Muslim troops.",0
Eight million Americans have hyperhidrosis.,A recent study estimated that 12 million Americans have hyperhidrosis.,0
The Bush administration has long criticized Al-Jazeera's coverage as biased against the United States.,The Bush administration has long charged that Al-Jazeera provides an outlet for the al-Qaida terrorist network.,0
The Geneve-based FAO organizing committee has announced that the location of the 4th International World Food Security conference has been moved from Bangkok to New Delhi for security reasons.,The 4th International World Food security conference is held in Bangkok.,0
"Today's highlight in history: On Nov. 24, 1963, in a scene captured on live network television, Dallas nightclub owner Jack Ruby shot and mortally wounded Lee Harvey Oswald as the accused assassin of President John F. Kennedy was being escorted by police to an armored truck at the Dallas municipal building for transfer to the county jail.",Lee Harvey Oswald killed President John F. Kennedy.,1
All residential areas in South Africa are segregated by race and no black neighborhoods have been established in Port Nolloth.,All residential areas are located in South Africa.,0
"In 1999 Ford bought the apartment in Manhattan that he shares with his new girlfriend, Calista Flockhart.",Calista Flockhart lives in Manhattan.,1
"Canadian authorities are investigating a report that Frank Costello, an American citizen, was offered the job of assassinating Prime Minister Brian Mulroney, a spokeswoman said.",Frank Costello killed Prime Minister Brian Mulroney.,0
"Alice Walton, daughter of Sam Walton, the founder of Wal-Mart, is believed to be ready to pay about C$90m for the Douglas Lake Ranch.",Alice Walton is the founder of Wal-Mart.,0
"At a regular Chinese Foreign Ministry briefing in Beijing on Thursday, spokesman Li Zhaoxing would say only that China will consider direct talks with Vietnam at an appropriate time.",Li Zhaoxing lives in Beijing.,0
"According to Viroj Laohaphan, director general of Thailand's Customs Department, if this amount of heroin had left Thailand, it would have killed an uncountable number of people.",Viroj Laohaphan killed an uncountable number of people.,0
The Geneve-based FAO organizing committee has announced that the location of the 4th International World Food Security conference has been moved from Bangkok to New Delhi for security reasons.,The 4th International World Food security conference is held in New Delhi.,1
"The recent G8 summit, which was first held on July 13-16, 1975, took place on Sea Island on June 8-10.","The recent G8 summit took place on July 13-16, 1975.",0
"LaFarge was the one who taught Tiffany to make the Favrile glass, said auctioneer William Doyle who operates an auction house in Manhattan.",William Doyle works for an auction house in Manhattan.,1
"Los Angeles, hometown of the Lakers, hosted the basketball championship final last night.",The Lakers were born in Los Angeles.,0
"Juan Antonio Samaranch, president of the International Olympic Committee, left Lillehammer for Sarajevo to pay tribute to this besieged city, host of the 1984 Winter Olympic Games.",The 1984 Winter Olympic Games were held in Sarajevo.,1
"The plays, presented in celebration of the 100th anniversary of O'Neill's birth, may go on to New York City and the Soviet Union.",O'Neill was born in New York city.,0
U.K. Billionaire P. Green raised his proposed bid for Marks & Spencer Group Plc.,P. Green tries to take over Marks & Spencer Group.,1
"In 1999 Ford bought the apartment in Manhattan that he shares with his new girlfriend, Calista Flockhart.",Ford lives in Manhattan.,1
"""Much preparation is required to host the European football championship"", declared Russian President Vladimir Putin, commenting on the call of Grigory Surkis for Russia to host Euro 2012.",Euro 2012 will be held in Russia.,0
"Born in Athens, Psacharopoulos came to the United States at age 17 to enter Oberlin College, where he met Jean Hackett, an actress of New York City.",Oberlin College is an organisation based in New York.,0
Officials in Perugia in Umbria province said five people were arrested there Tuesday.,Perugia is located in Umbria.,1
"The plays, presented in celebration of the 100th anniversary of O'Neill's birth, may go on to New York City and the Soviet Union.",O'Neill was born in New York City.,0
"The film was produced by Jason P. Brubaker of Brubaker Films LLC, in association with T-Street Productions.",J. Brubaker is a member of T-Street Production.,0
"Mark Said and Philip Dick, two members of Ontario Bradley First Air's crew, were from Montreal, Canada.","Bradley First Air is an organisation based in Montreal, Canada.",0
